Woi,CAPEX,id,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
7.174119371,113.1401616,641,9,without,without,without,CAHM,10.58718869,0,,,HPGR_Fines,27,0.729417423,,,,
8.523643648,110.6310736,843,9,with,without,without,CAHM,10.58718869,0,,,Mono_Roll,27,0.7,,,,
9.13716533,131.3703947,102,9,without,without,without,CAHM,15.26511836,0,,,HPGR_Fines,30,0.7,,,,
9.441741722,86.30685201,772,9,without,without,without,CAHM,11.1216273,0,,,Mono_Roll,27,0.69092156,,,,
10.27917057,101.4828104,502,9,without,without,without,SAG,12.27641874,0,without,,HPGR_Fines,27,0.7,,,,
11.03146095,77.58167828,913,10,without,without,without,CAHM,11.1216273,0,,,BallMill,27,0.690124173,,,,
11.04529315,77.57012651,904,10,without,without,without,CAHM,10.58718869,0,,,BallMill,27,0.694643113,,,,
11.06448421,79.56627592,959,9,without,without,without,CAHM,10.58718869,0,,,BallMill,27,0.697064243,,,,
11.57200586,79.68949478,631,9,without,without,without,CAHM,12.33223549,0,,,BallMill,27,0.694643113,,,,
11.73504101,137.8571258,38,10,with,with,without,CAHM,10.32366703,0,,,Mono_Roll,34,0.77657186,,,,
11.92059748,116.5243887,193,9,without,with,without,SAG,14.3291247,0,without,,HPGR_Fines,29,0.7,,,,
12.52416609,121.2476405,248,9,without,without,without,SAG,15.26511836,0,with,0,HPGR_Fines,30,0.7,,,,
18.51669194,110.7084965,173,9,without,without,without,CAHM,15.26511836,0,,,BallMill,36,0.7,,,,
6.651200159,129.0417908,691,9,with,without,without,CAHM,11.1216273,1,,,HPGR_Fines,27,0.697064243,,,,
6.961161924,140.0085466,155,9,with,without,without,CAHM,10.58718869,1,,,HPGR_Fines,29,0.69092156,,,,
6.961161924,140.0085466,266,9,with,without,without,CAHM,10.58718869,1,,,HPGR_Fines,29,0.69092156,,,,
7.056061145,104.7175692,602,9,without,without,without,CAHM,11.1216273,1,,,HPGR_Fines,27,0.693227874,,,,
7.058244419,104.7175692,755,9,without,without,without,CAHM,11.2088748,1,,,HPGR_Fines,27,0.693227874,,,,
7.079318085,104.7040921,694,9,without,without,without,CAHM,11.1216273,1,,,HPGR_Fines,27,0.7,,,,
7.114273618,140.0412766,460,9,with,without,without,CAHM,11.87892734,1,,,HPGR_Fines,29,0.69092156,,,,
7.225429664,104.6328562,742,9,without,without,without,CAHM,11.1216273,1,,,HPGR_Fines,27,0.738730518,,,,
7.464274456,104.827311,323,9,without,without,without,CAHM,12.27641874,1,,,HPGR_Fines,27,0.697064243,,,,
7.474354281,104.8215351,391,9,without,without,without,CAHM,12.27641874,1,,,HPGR_Fines,27,0.7,,,,
